programmes,desc,target,link,org
Presbyterian Community Services Hougang Centre,"Aims to provide a natural environment for the child to learn, play, socialize and grow up in in preparation for entry into mainstream primary school.",Children with special needs,http://www.pcs.org.sg/,Presbyterian Community Services Hougang Centre
Presbyterian Community Services Jurong West Centre,"Aims to provide a natural environment for the child to learn, play, socialize and grow up in in preparation for entry into mainstream primary school.",Children with special needs,http://www.pcs.org.sg/,Presbyterian Community Services Jurong West Centre
Presbyterian Community Services Pasir Ris 51 Student Care Centre,Operates 6 student care centres (which includes 1 school-based student care and 3 centres which are joint projects with Sion Community Services) by providing a structured supervised environment to latchkey students.,Children,http://www.pcs.org.sg/,Presbyterian Community Services Pasir Ris 51 Student Care Centre
Presbyterian Community Services Star View Student Care Centre,Operates 6 student care centres (which includes 1 school-based student care and 3 centres which are joint projects with Sion Community Services) by providing a structured supervised environment to latchkey students.,Children,http://www.pcs.org.sg/,Presbyterian Community Services Star View Student Care Centre
Presbyterian Community Services Tampines Centre,"Aims to provide a natural environment for the child to learn, play, socialize and grow up in in preparation for entry into mainstream primary school.",Children with special needs,http://www.pcs.org.sg/,Presbyterian Community Services Tampines Centre
Presbyterian Community Services Woodlands Centre,"Aims to provide a natural environment for the child to learn, play, socialize and grow up in in preparation for entry into mainstream primary school.",Children with special needs,http://www.pcs.org.sg/,Presbyterian Community Services Woodlands Centre
Presbyterian Community Services Yishun Centre,"Aims to provide a natural environment for the child to learn, play, socialize and grow up in in preparation for entry into mainstream primary school.",Children with special needs,http://www.pcs.org.sg/,Presbyterian Community Services Yishun Centre
Princess Elizabeth Big Heart Student Care,The Big Heart Student Care helps to provide homely and conducive after-school care environment for students and complement MOE in providing educational and developmental support to the students. The student care also reach out to students from less privileged backgrounds and their families to provide holistic and family-centric assistance. [By The Self Help Groups Student Care Limited (SHGSCL)],Students of all races from low-income families,https://bigheartstudentcare.com/,Big Heart Student Care@Princess Elizabeth
Prison Aftercare (New Redeemer's Fellowship Society),New Redeemer's Fellowship Society Prison Aftercare aims to reconstruct broken lives:- 1) Help inmates and ex-inmates to build strong and upright characters. 2)Help them to be useful citizens so that they can be integrated into the society of Singpapore. 3)Help delinquent youths to change and live meaningful lives. 4)Help families in distress.,Inmates and ex-offenders,https://www.giving.sg/,New Redeemer's Fellowship Society
Programme Dignity for Advanced Dementia,"In 2014, we launched Programme Dignity under our Home Care service. A collaboration between Temasek Cares, Tan Tock Seng Hospital, the Agency for Integrated Care, and Dover Park Hospice, this special patient-centric initiative provides palliative home care for advanced dementia patients to live out their remaining days with dignity.",Seniors requiring residential care but prefer ageing within the community,http://www.doverpark.org.sg/,Dover Park Hospice
Project H.I.R.E. - Employment Internship Programme,Internship placement for PMHI where we provide onsite job coaching and collaborate with employers to design work function that utilises the strengths of PMHI and minimise stigmatisation at workplace. [Service by Singapore Anglican Community Services (SACS)],Persons with mental health issues looking to be employed,http://www.sacs.org.sg/,Anglican Care Centre (Simei)
Project HomeWorks,"At Project HomeWorks, we work with vulnerable persons and families in Singapore who need help to transform their homes into a safe and sanitary place. [Initiative by Habitat For Humanity Singapore Ltd]",Vulnerable elderly & families living in rental flats,http://www.habitat.org.sg/,Under No Roof
Project Sparkle,"“Project Sparkle” is an annual initiative of Hope Centre (Singapore) to bless the residents living in Lavender, Bukit Merah, Chinatown, Yishun and Hougang by helping to clean up the rental flats in the area. 2017 marks the 6th year running of Project Sparkle, more than 3500 volunteers of all ages, from all over Singapore, came together to join in this meaningful cause.","In 2018, we will be expanding our reach to rental units in the East and West Region in Singapore. We hope to continue bringing smiles to the faces of the residents through a clean house and warm hearts.",https://hopecentre.org.sg/,Hope Centre (Singapore)
Project UNIFY now known as Unified Champion Schools,"Special Olympics Unified Champion Schools is an education-based program that uses the sports and education initiatives of Special Olympics to activate youth to promote school communities where all young people are agents of change – fostering respect, dignity and advocacy for people with intellectual disabilities",Individuals with/without intellectual disabilities,https://www.specialolympics.org/,Special Olympics Asia Pacific Ltd
Promisedland Educational Foundation,"The sole purpose of Educational Foundation (EF) is to develop children and youths regardless of their family background, social and financial status. Every child and youth are given an opportunity to fulfill their best potential through our programmes and services: (i) Student Care Centre; (ii) Super Kid; and (iii) Sports Club. [Programme by Promisedland]",Children of underprivileged or disadvantaged families,https://promisedland.org.sg/,Educational Foundation
Promisedland Lifeblood Centre,Lifeblood Centre hopes to do whatever we can to allow the patients and their families have hope in battling the illness. Many cancer patient families undergo great mental stress. We can only do so much by helping them feel that there are people in society that bears their problems with them and by helping the patients have a positive mindset in the recovery process. [Programme by Promisedland],"Thalassemia and cancer patients, and their families",http://promisedland.org.sg/,Promisedland Lifeblood Centre
PSALT Care Ltd,PSALT Care offers 4 core services:,2. Stress-Out @ School Program,https://psaltcare.wordpress.com/,PSALT Care Ltd
PSALT Peer Recovery Support Groups,PSALT Care facilitates therapy sessions for people who are addicted to compulsive stealing and their family members to support them in coping with the addiction. This is conducted on an ad-hoc basis whenever there are referrals from Subordinate Court.,"Persons recovering from depression & bipolar disorder, alcohol and substance abuse, adult ADD & ADHD, eating disorders, cyber, sex and other addictions",https://psaltcare.wordpress.com/,PSALT Care Ltd
PSALT Stress-Out @ School Programme,"PSALT Stress-Out @ School Programme aims to start mental wellness awareness programs in schools for teachers, students and parents. Through these programs, we hope to equip them with knowledge on mental wellness/illness so that they can better understand and learn to accept individuals coping with these illnesses.","Teachers, Students and Parents",https://psaltcare.wordpress.com/,PSALT Care Ltd
PSGC at Chen Su Lan Methodist Children's Home,"The Pilot Small Group Care (PSGC) at Chen Su Lan Methodist Children's Home is a new, smaller and specialised care home developed and supported by the Ministry of Social and Family Development (MSF) to care for children with moderate to high levels of needs and care.",Adolescents,http://www.cslmch.org.sg/,PSGC at Chen Su Lan Methodist Children's Home
Psychogeriatric Clinic - Geylang,"IMH’s Psychogeriatric Clinics cater to the mental health needs of the elderly in Singapore. Assessments can be obtained at IMH Clinic B and Sayang Wellness Clinic @ IMH, Buangkok Green Medical Park and at the Community Wellness Clinics located at Geylang Polyclinic and Queenstown Polyclinic.",Seniors with dementia,https://www.imh.com.sg/,Psychogeriatric Clinic - Geylang
Psychogeriatric Clinic - IMH Clinic B,"IMH’s Psychogeriatric Clinics cater to the mental health needs of the elderly in Singapore. Assessments can be obtained at IMH Clinic B and Sayang Wellness Clinic @ IMH, Buangkok Green Medical Park and at the Community Wellness Clinics located at Geylang Polyclinic and Queenstown Polyclinic.",Seniors with dementia,https://www.imh.com.sg/,Psychogeriatric Clinic - IMH Clinic B
Psychogeriatric Clinic - Queenstown,"IMH’s Psychogeriatric Clinics cater to the mental health needs of the elderly in Singapore. Assessments can be obtained at IMH Clinic B and Sayang Wellness Clinic @ IMH, Buangkok Green Medical Park and at the Community Wellness Clinics located at Geylang Polyclinic and Queenstown Polyclinic.",Seniors with dementia,https://www.imh.com.sg/,Psychogeriatric Clinic - Queenstown
Psychological Services,"MCYC's team of psychologists provide screening, assessment and intervention programmes for children with developmental and behavioural issues. Psychological assessments are conducted for children and youths in the areas of cognitive assessment, achievements assessments and Attention Deficit/Hyperactive Disorder",Children,http://www.mcyc.sg/,Psychological Services
Public Duty,"Provides voluntary First Aid coverage at national, community, corporate, and school events.","National, community, corporate, and school events",https://www.stjohn.org.sg/,St. John Singapore
Public Education,Programme information unavailable. Please contact the organisation directly for more details.,Please contact the organisation directly for more details.,http://www.pphcsc.org/,Pasir Panjang Hill Community Services Centre
Public Education,"The programme consists of workshops conducted for parents, students & teachers with a common goal to understand children and their needs as well as help them meet the needs of the school",Children and youths,http://www.ramakrishna.org.sg/,"Ramakrishna Mission, The"
Public Education (HELP FSC),"HELP FSC promotes greater awareness of issues related to single-parent families through training, talks and workshops to professionals, clients, interested individuals, schools, tertiary institutions, education providers, the media and the social service sector, so as to bring about a better understanding and acceptance of single-parent families.",Members of the Public,http://www.helpfsc.org.sg/,HELP FSC
Public Education on Impactful Volunteerism,"In 2016, Mercy Relief was invited to 36 speaking opportunities at schools, corporations and community organisations to educate and mobilise Singaporeans to volunteer and build a compassionate society.    In 2016, Mercy Relief organised Ground Zero Run for Humanity, a charity run by 1,236 participants, to raise awareness about disaster relief.",General public,https://www.mercyrelief.org/,Mercy Relief Limited
Public Education Programme,Programme information unavailable. Please contact the organisation directly for more details.,General public,http://www.saso.sg/,Caregivers Alliance Limited
Punggol Family Service Centre,Punggol Family Service Centre has established itself as centre ready to meet the needs of Punggol residents. [Managed by AMKFSC Community Services],Individuals and families in need,https://www.amkfsc.org.sg/,AMKFSC Community Services Ltd
Qifa Big Heart Student Care,The Big Heart Student Care helps to provide homely and conducive after-school care environment for students and complement MOE in providing educational and developmental support to the students. The student care also reach out to students from less privileged backgrounds and their families to provide holistic and family-centric assistance. [By The Self Help Groups Student Care Limited (SHGSCL)],Students of all races from low-income families,https://bigheartstudentcare.com/,Qifa Primary School
QMSC Health Services,Queenstown Multi-Service Centre (QMSC) provides the following health services:,- Bone and Joint Health Clinics are run monthly since 2012.,https://www.qmscsg.org/,Queenstown Multi-Service Centre
QMSC Recreational Activities,Queenstown Multi-Service Centre (QMSC) provides recreational activities to look after the psychological and social well being of our beneficiaries.,Senior Citizens,https://www.qmscsg.org/,Queenstown Multi-Service Centre
QMSC Rehabilitative Service,Queenstown Multi-Service Centre (QMSC) provides Physiotherapy services which aim to support and improve physical function through professional and individualised treatment.,Seniors with rehabilitative needs,https://www.qmscsg.org/,Queenstown Multi-Service Centre
QMSC Transportation Services,Queenstown Multi-Service Centre (QMSC) provides transportation services,Senior Citizens,https://www.qmscsg.org/,Queenstown Multi-Service Centre
Quantedge Foundation (Singapore),Quantedge Foundation (Singapore) aims to deliver impactful solutions to social problems and challenges in Singapore by focusing on areas where the Foundation can achieve the largest amount of social good per dollar spent.,Primary 5 and 6 students,http://www.ri.edu.sg/,Quantedge Foundation (Singapore) Ltd
Radiance Student Care Centre,Radiance Student Care Centre provides before and after school care service to primary school students.,Please contact the organisation directly for more details.,,Radiance Student Care Centre
Rainbow Centre Family Life Services (RCFLS),Rainbow Centre Singapore started the Family Life Services (FLS) to consolidate casework and support services for families of children with special needs.,Family caregivers of children attending RC programmes,http://www.rainbowcentre.org.sg/,Rainbow Centre Family Life Services (RCFLS)
Rainbow Centre Training & Consultancy (RCTC),Provides a continuum of basic to advanced workshops to enskill people caring for persons with disabilities.,"Caregivers of children attending RC programmes, RC volunteers, Social Service Professionals",http://www.rainbowcentre.org.sg/,Rainbow Centre Training & Consultancy (RCTC)
RAINBOWS (HELP FSC),"RAINBOWS is a peer support programme for children and adults who have experienced death, divorce, separation and abandonment.","RAINBOWS provides the opportunity and a safe environment for grieving children and adults to sort through their pains and confusion, build self-esteem and learn to trust again. [HELP FSC]",http://www.helpfsc.org.sg/,HELP FSC
Ramadhan On Wheels (ROW),"Provides elderly befriending, skills training geared towards entrepreneurship for families, monthly groceries vouchers, home improvement and gatherings.","Seniors, low income and dysfunctional families",http://www.4pm.org.sg/,Ramadhan On Wheels (ROW)
Ramakrishna Mission,"Currently operates a Boys’ Home,  Sarada Kindergarten and WINGS Counselling Centre.",General public,http://www.ramakrishna.org.sg/,Ramakrishna Mission
Ramakrishna Mission Boys' Home,Aims to prepare its wards intellectually to meet life's challenges by providing a moral framework for daily living and nurture a confidence to always achieve the best.,Male children from dysfunctional homes or single parent families,http://www.rkmbh.org/,Ramakrishna Mission Boys' Home
RC E-STEP (Margaret Drive),Rainbow Centre Early Structured Teaching for Exceptional Pupils (E-STEP) Margaret Drive aims to understand and appreciate the nature of children with autism. It aims to provide a positive learning environment and a differentiated curriculum to equip each child with the necessary functional and academic skills to help him achieve his fullest potential.,"Children with ASD, aged 2 to 6 years old",http://www.rainbowcentre.org.sg/,Rainbow Centre EIP Margaret Drive
RC E-STEP (Yishun Park),Rainbow Centre Early Structured Teaching for Exceptional Pupils (E-STEP) Yishun Park aims to understand and appreciate the nature of children with autism. It aims to provide a positive learning environment and a differentiated curriculum to equip each child with the necessary functional and academic skills to help him achieve his fullest potential.,"Children with ASD, aged 2 to 6 years old",http://www.rainbowcentre.org.sg/,Rainbow Centre EIP Yishun Park
RC EIPIC (Margaret Drive),"Rainbow Centre Early Intervention Programme for Infants and Young Children (EIPIC) Margaret Drive aims to give children aged 2 months to 6 years old, with either Down syndrome, developmental delay, cerebral palsy or multiple disabilities, a head start in their development.",Children with disabilities,http://www.rainbowcentre.org.sg/,Rainbow Centre EIP Margaret Drive
RC EIPIC (Yishun Park),"Rainbow Centre Early Intervention Programme for Infants and Young Children (EIPIC) Yishun Park aims to give children aged 2 months to 6 years old, with either Down syndrome, developmental delay, cerebral palsy or multiple disabilities, a head start in their development.",Children with disabilities,http://www.rainbowcentre.org.sg/,Rainbow Centre EIP Yishun Park
RC Margaret Drive School - PPMD,"Rainbow Centre Margaret Drive School - PPMD caters to children aged 7 years to 18 years old with developmental disabilities or multiple disabilities, which may include a combination of intellectual, physical, visual and/or hearing impairments.",Students with Multiple Disabilities (Low to moderate functioning),http://www.rainbowcentre.org.sg/,Rainbow Centre Margaret Drive School
RC Margaret Drive School - STEP,Rainbow Centre (RC) Margaret Drive School - STEP aims to understand and appreciate the nature of children with autism. It aims to provide a positive learning environment and a differentiated curriculum to equip each child with the necessary functional and academic skills.,Students with ASD aged 7 to 18 years old,http://www.rainbowcentre.org.sg/,Rainbow Centre Margaret Drive School
RC OOSH,"Rainbow Centre (RC) OOSH (Out of School Hours) is Rainbow Centre's student care centre for persons with disabilities aged 7-18. Here, students can engage in purposeful and functional activities in a safe, nurturing, and creative environment.","Children with special needs, aged 7 to 18",http://www.rainbowcentre.org.sg/,Rainbow Centre
RC Yishun Park School - PPMD,"Rainbow Centre Yishun Park School - PPMD caters to children aged 7 years to 18 years old with developmental disabilities or multiple disabilities, which may include a combination of intellectual, physical, visual and/or hearing impairments.",Students with Multiple Disabilities (Low to moderate functioning),http://www.rainbowcentre.org.sg/,Rainbow Centre Yishun Park School
RC Yishun Park School - STEP,Rainbow Centre (RC) Yishun Park School - STEP aims to understand and appreciate the nature of children with autism. It aims to provide a positive learning environment and a differentiated curriculum to equip each child with the necessary functional and academic skills.,Students with ASD aged 7 to 18 years old,http://www.rainbowcentre.org.sg/,Rainbow Centre Yishun Park School
REACH (Hope Centre),"Seniors fall through the cracks and are often neglected. Hence, REACH programme was started in 2013, and each of our volunteers is assigned to adopt a homebound elderly around Kampong Glam to care and visit on a weekly basis.","REACH stands for Relate, Encourage, Assist, Care and Hope.",https://hopecentre.org.sg/,Hope Centre (Singapore)
REACH Counselling Centre @ Shunfu,"REACH Counselling Service provides individual, couple and family counselling services, with a particular focus on marital and family work.",Distressed couples or in fractured family relationships and persons with mental health issues.,https://www.reach.org.sg/,"https://www.google.com/maps/place/Singapore+570307/@1.3505744,103.8363713,17z/data=!3m1!4b1!4m5!3m4!1s0x31da173bf9b0db39:0xbed1e3f5ec0768ad!8m2!3d1.350569!4d103.83856"
REACH Family Service Centre @ Bishan,"A professional social service agency commissioned by the Ministry of Social and Family Development to serve families and individuals residing in the Bishan, Sin Ming, Shunfu and Thomson Community. We do casework & Counselling; information & referrals; community outreach & groupwork.",Low income needy and vulnerable individuals / family.,https://www.reach.org.sg/,"https://www.google.com/maps/place/Singapore+570187/@1.3497044,103.8491083,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1713e336e6bf:0x4df17642b05fd892!8m2!3d1.349699!4d103.851297"
REACH Family Service Centre @ Sin Ming,"A professional social service agency commissioned by the Ministry of Social and Family Development to serve families and individuals residing in the Bishan, Sin Ming, Shunfu and Thomson Community. We do casework & Counselling; information & referrals; community outreach & groupwork.",Low income needy and vulnerable individuals / family.,https://www.reach.org.sg/,"https://www.google.com/maps/place/Singapore+570409/@1.3624974,103.8324883,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1727b6e22f37:0x83fe139857cb4264!8m2!3d1.362492!4d103.834677"
REACH Senior Centre @ Bukit Batok,"REACH Senior Service encourages seniors, age 50 years old and above, to lead active and fulfilling lives  through programmes designed to meet their physical and emotional needs.","Poor, socially isolated, helpless seniors and their cargivers",https://www.reach.org.sg/,"https://www.google.com/maps/place/Singapore+650417/@1.3629054,103.7439983,17z/data=!3m1!4b1!4m5!3m4!1s0x31da10349d5c74a7:0x16a263f9f0e0421f!8m2!3d1.3629!4d10"
REACH Senior Centre @ Bukit Gombak Vista,"REACH Senior Service encourages seniors, age 50 years old and above, to lead active and fulfilling lives  through programmes designed to meet their physical and emotional needs.","Poor, socially isolated, helpless seniors and their cargivers",https://www.reach.org.sg/,"https://www.google.com/maps/place/Bukit+Gombak+Vista/@1.3594189,103.7480437,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1176acbffe5d:0x529ac58464fb0a71!8m2!3d1.3594135!4d103.7502324"
REACH Senior Centre @ Jalan Membina,"REACH Senior Service encourages seniors, age 50 years old and above, to lead active and fulfilling lives  through programmes designed to meet their physical and emotional needs.","Poor, socially isolated, helpless seniors and their cargivers",https://www.reach.org.sg/,"https://www.google.com/maps/place/Singapore+165026/@1.2830494,103.8234073,17z/data=!3m1!4b1!4m5!3m4!1s0x31da197c4402edeb:0x507d2fbdc9a9c9e5!8m2!3d1.283044!4d103.825596"
REACH Youth Powerhouse @ Bukit Batok,"REACH Youth Service adopts a Solution Focused Approach which focuses on the strengths and resources of young persons, regardless of their situation and / or issues using a wide spectrum of youth programmes ranging from sports, arts to casework and counselling for age 8 -25 years old.","Underpriviledged children, youths at-risk, incacerated youth.",https://www.reach.org.sg/,"https://www.google.com/maps/place/Singapore+650417/@1.3629054,103.7439983,17z/data=!3m1!4b1!4m5!3m4!1s0x31da10349d5c74a7:0x16a263f9f0e0421f!8m2!3d1.3629!4d10"
Red Cross Blood Donor Recruitment Programme,"Red Cross Blood Donor Recruitment Programme aims to recruit, retain and recognise blood donors through the promotion and education on the importance of blood donation. [Programme by Singapore Red Cross Society]",Blood donors,https://www.redcross.sg/,Bloodbank@HSA
Red Cross Civil Emergency Response,"Singapore Red Cross Society works to enhance community preparedness and strengthen resilience, to reduce the vulnerability during emergencies. During peacetime, Red Cross support civil and blood emergency exercises.","During emergencies, Red Cross play an auxiliary role to the Singapore government in response to disasters. They mobilise first aiders and blood donors to support government health services.",https://www.redcross.sg/,Singapore Red Cross Society
Red Cross Community FirstAid,"Through the Community FirstAid programme, Singapore Red Cross Society mobilise First Aid volunteer teams for events ranging from the National Day Parade, Chingay Parade and Istana Open House to community sports events, family day carnivals, etc.",Volunteers,https://www.redcross.sg/,Singapore Red Cross Society
Red Cross Community-Lead Action for Resilience (CLARE) - Elderly,"Community-Led Action for REsilience (C.L.A.R.E.) mobilises and empowers community volunteers to care for and build resilience of the vulnerable, through outreach and humanitarian services.   [By Singapore Red Cross Society]","Persons with disabilities, elderly and children who are wheelchair-bound and have chronic diseases or other medical conditions",https://www.redcross.sg/,Red Cross House (HQ)
Red Cross Day Activity Centre,"Singapore Red Cross Society Day Activity Centre provide day care services to those who can return home to their loved ones in the evenings, providing respite for caregivers during the day. The programmes engages persons with disabilities in daily and community living skills, to maximise their independence. Red Cross DAC offer social, recreational and therapeutic activities for the clients.",Persons with multiple disabilities,https://www.redcross.sg/,Red Cross Day Activity Centre
Red Cross ElderAid,"Singapore Red Cross Society’s ElderAid is a befriending and wellness programme that reduces vulnerability and enhances resilience, to achieve a community ageing-in-place. Community volunteers conduct befriending home visits to engage seniors on their needs and to reduce vulnerability. Whenever there are unmet needs, the volunteers will help to direct the seniors to appropriate social services. In addition,  community volunteers conduct regular social calls and recreational wellness activities for seniors living alone.",Elderly who live on their own,https://www.redcross.sg/,Singapore Red Cross Society
Red Cross HoME+,"Home Monitoring and Eldercare (HoME+) helps seniors living on their own, through a helpline that operates 24/7 for non-emergency situations, and a monitoring, alert and response system for home safety.",Elderly living on their own,https://www.redcross.sg/,Singapore Red Cross Society
Red Cross Meals with Love,"Singapore Red Cross Society's Meals with Love provides monthly rations of nutritious food and also also offers a listening ear, a helping hand and practical advice to the families in need.","Skipped-generation families (grandparent-headed households), single-parent families and employed persons with low income",https://www.redcross.sg/,Red Cross House (HQ)
Red Cross TransportAid,"Singapore Red Cross Society’s TransportAid service helps the elderly and disabled from low-income homes get to and from their healthcare service facilities, such as medical treatments, rehabilitation and day activity centres.",Persons with physcial and multiple disabilities (wheelchair-bound) and have chronic diseases; require regular visits to hospitals/clinics,https://www.redcross.sg/,Red Cross House (HQ)
Red Shield Industries,Red Shield Industries (RSI) is the social enterprise unit of The Salvation Army.  RSI helps to generate income through its Family Thrift Stores to support the mission to provide holistic care to the community.,Members of public,https://redshieldindustries.com/,The Salvation Army Red Shield Industries
Red Swastika Before And After School Care Centre,Provide before and after school care service.,Please contact the organisation directly for more details.,http://redswastika.moe.edu.sg/,Red Swastika Before And After School Care Centre
Red Swastika Eldercare Centre,Provides day care for the aged.,Senior citizens,,Red Swastika Eldercare Centre
Reflections: Unfolding Faith,"Guided tours to places of worships on an experience and journey to explore, discuss and clarify th ekey tenets of various faith and ethnicity in Singapore.",IRCC members,http://www.onepeople.sg/,OnePeople.sg
Ren Ci Day Care Centre For The Elderly,One-stop quality rehabilitation service for seniors to re-integrate back to the community.,Community-dwelling seniors with rehabilitative needs,http://www.renci.org.sg/,Ren Ci Day Care Centre For The Elderly
Ren Ci Long Term Care - Hougang,"Ren Ci Long Term Care at Buangkok Green was where Ren Ci Hospital started its operations in 1994, which took care of two types of patients: Nursing Home residents and Chronic Sick patients. By end 2014, the residents relocated to Ren Ci Nursing Home at Moulmein, whilst the Chronic Sick Unit moved to Ren Ci Community Hospital at Irrawaddy Road",Low-income bedbound patients with severe physical disabilities,http://www.renci.org.sg/,Ren Ci Long Term Care - Hougang
Ren Ci Nursing Home,Residential home providing convalescent care.,"Low-income seniors, wheelchair bound, bedbound or multiple illnesses",http://www.renci.org.sg/,Ren Ci Nursing Home
Research & Advocacy,This program is aimed at doing internal research with our cases to gather data to inform policy makers and organisations on needs and changes to policies and practises.,Please contact the organisation directly for more details.,http://www.thkmc.org.sg,Thye Hua Kwan Moral Charities Limited
Research and development,"Opportunity for collaborative research in the areas of teaching, learning and education.",Scholars interested in research on teaching pedagogy,https://www.uwcsea.edu.sg/,United World College of South East Asia
Restorative Conference,"The Restorative Conference is a process that deals with wrongdoing and conflict. This involves bringing together people who have been harmed, together with those who have caused harm, to speak and express feelings, and most importantly have a say in the outcome. The Restorative Conference is a voluntary process, with high rates of participant satisfaction because it addresses the needs of all participants to share their story and take ownership of the outcomes.","Children, youth, families, community members",www.lccs.org.sg,Lutheran Community Care Services
Restorative Parenting Workshop,"We conduct Restorative Parenting Workshops to equip parents with the restorative principles and skills in parenting, conflict management and relationship building. ",,www.lccs.org.sg,Lutheran Community Care Services
Riding For The Disabled Association Of Singapore,The Riding for the Disabled Association Singapore (RDA Singapore) provides equine-assisted therapy (also known as hippotherapy) to children and adults with physical and mental disabilities.,Children and adults with physical and mental disabilities,www.rdasingapore.org,Riding For The Disabled Association Of Singapore
RiverLife Community Services Limited,Provides community-based services such as material assistance and engagement in social activities.,Underprivileged or disadvantaged families and individuals,http://www.rcs.org.sg/,RiverLife Community Services Limited
Rivervale Student Care Services,All of their student care centres provide quality before-and-after-school care for students between the ages of 7 to 14 years old. We strongly believe in providing a nurturing and stimulating environment for the children to grow and develop. Every centre has capable guardians who will supervise the children's school work as well as provide necessary guidance in other aspects of their lives.,Students aged 7 to 16,http://rscs.jamiyah.org.sg/,Rivervale Student Care Services
ROHI Financial Assistance,The Ray of Hope Initiative Ltd (ROHI) provides financial assistance disbursed in instalment or as vouchers for families facing sudden financial crisis.,"Underprivileged, disadvantaged families and individuals with no access to other assistance",https://rohi.sg/,The Ray of Hope Initiative
Ronald McDonald House,"Provides a ""home away from home"" to enable families to stay close-by while a child is undergoing treatment.",Chlidren receiving treatment in NUH and their families,http://rmhc.org.sg/,Ronald McDonald House
Ronald McDonald House Charities Singapore,"The charity also disburses funds to needy children for their medical, rehabilitation and surgical treatments.  It has since allocated over $6 million in support of the Ronald McDonald Family Room at KK Women?s & Children?s Hospital and helped about 900 Singapore children in medical, surgical and rehabilitative treatment.  The charity is currently reviewing this programme on its relevancy.",Children requiring medical treatment,http://rmhc.org.sg,Ronald McDonald House Charities Singapore
Rotary Family Service Centre,Rotary Family Service Centre provides the following services:,1) Information and Referrals,http://rotaryfsc.sg/,Rotary Family Service Centre
ROUNDBOX @ CHILDREN'S SOCIETY: CABIN,CABIN uses its facilities and activities to provide meaningful engagement with youths after school hours within the school premises.,Low - Mid risk or low income youth aged 13-18.,nil,onepeople.sg
ROUNDBOX @ CHILDREN'S SOCIETY: PEAK,"PEAK develops and moulds youths with leadership potential into good communicators, confident and respectful leaders.",Low - Mid risk or low income youth aged 13-18.,nil,onepeople.sg
ROUNDBOX @ CHILDREN'S SOCIETY: QUEST,QUEST uses the strengths and passions of the youth to instil positive values and address behavioural or socio-emotional issues through theraputic programmes.,Low - Mid risk or low income youth aged 13-18.,nil,onepeople.sg
ROUNDBOX @ CHILDREN'S SOCIETY: REACH,"REACH is a drop-in facility with a fully equipped gym and kitchen, console games, band room and pool table for youth to spend their time in a nurturing and safe environment.",Low - Mid risk or low income youth aged 13-18.,nil,onepeople.sg
Royal Rangers,This is a leadership and enrichment program for children/youth age 5 to 17. The activities are held every Saturday 3pm to 5pm.,Children between 5 to 17 years old,http://www.pottersplace.org.sg/,Potter's Place Community Services Society
RSVP Changi Senior Ambassador Programme,"RSVP Singapore Changi Senior Ambassador Programme for seniors to assist in directional and general wayfinding, help on flight info enquires, self-help WiFi assistance and interact with passengers at gardens in the transit hall.",Seniors who are fit and mobile and enjoy meeting new people,http://rsvp.org.sg/,RSVP Singapore
RSVP Cyberguide Programme,RSVP Singapore Cyberguide Programme provides training by seniors to equip other seniors with IT skills.,Seniors IT savvy in computers and smart devices,http://www.rsvp.org.sg/,RSVP Singapore
RSVP Enriching Lives of Seniors Programme (ELSP),"Piloted in November 2013, the RSVP Enriching Lives of Seniors Programme (ELSP) provides an opportunity for senior volunteers to befriend vulnerable and socially isolated seniors through relationships and community activities to keep them physically and mentally active.",Senior volunteers and socially isolated seniors,http://www.rsvp.org.sg/,RSVP Singapore
RSVP Episodic Volunteering Programme,RSVP Episodic Volunteering Programme engages more seniors volunteers for short-term activities ranging from half day to 6 months through collaborations with other Social Service Agencies.,Seniors above 40 years old,http://www.rsvp.org.sg/,RSVP Singapore
RSVP Homework Supervision Programme (HSP),RSVP Singapore Homework Supervision Programme (HSP) has volunteers to:,Methodically track their assignments and study for tests/exams,http://www.rsvp.org.sg/,RSVP Singapore
RSVP Mentally Disadvantaged Outreach Programme (MDOP),"RSVP Singapore Mentally Disadvantaged Outreach Programme (MDOP) has volunteers engage and befriend rehabilitating mental patients and help them ease back into society through light physical exercises, puzzle solving and expressive arts.",Seniors who are patient and caring,http://www.rsvp.org.sg/,RSVP Singapore
RSVP Mentoring Programme,RSVP Singapore Mentoring Programme has volunteers serve as mentors to impart moral values and life skills to at-risk school children from low income families.,Seniors who want to be an influence to the young,http://www.rsvp.org.sg/,RSVP Singapore
RSVP MyBuddy Programme,"RSVP Singapore MyBuddy volunteers make regular home visits to elderly patients who have frequent hospital admission history. Volunteers offer companionship, simple acts of kindness and remind them to take their medication. The aim is to reduce the loneliness of the seniors and give them encouragement such that they will be able to look after themselves and have a brighter outlook on life.",Elderly patients who have frequent hospital admission history,http://www.rsvp.org.sg/,RSVP Singapore
RSVP Senior Guiding Programme,"Started in 2010, senior volunteers from RSVP Singapore provide concierge services such as visitor greeting, offering directions, general information, and assistance at the venues RSVP Singapore serves. Volunteers also conduct guided tours at certain venues.",Senior volunteers,http://www.rsvp.org.sg/,RSVP Singapore
